industry_raw,industry_code,industry_name,year,births_of_new_enterprises,active_enterprises,active_enterprises_10plus_employees,deaths_of_new_enterprises,percent_of_1_year,percent_of_2_year,percent_of_3_year,percent_of_4_year,percent_of_5_year,survival_of_1_year,survival_of_2_year,survival_of_3_year,survival_of_4_year,survival_of_5_year,high_growth_enterprises
33 : Repair and installation of machinery and equipment,33,Repair and installation of machinery and equipment,2020,2095,17135,1385,1630,95.2267303102625,72.3150357995227,52.9832935560859,46.0620525059666,NA,1995,1515,1110,965,NA,50
33 : Repair and installation of machinery and equipment,33,Repair and installation of machinery and equipment,2021,1750,16865,1400,2180,92.8571428571429,76.8571428571429,65.1428571428572,NA,NA,1625,1345,1140,NA,NA,40
33 : Repair and installation of machinery and equipment,33,Repair and installation of machinery and equipment,2022,1675,16395,1460,1845,94.3283582089552,77.6119402985075,NA,NA,NA,1580,1300,NA,NA,NA,45
33 : Repair and installation of machinery and equipment,33,Repair and installation of machinery and equipment,2023,1595,16080,1460,1280,95.9247648902821,NA,NA,NA,NA,1530,NA,NA,NA,NA,65
"35 : Electricity, gas, steam and air conditioning supply",35,"Electricity, gas, steam and air conditioning supply",2019,630,6120,555,360,94.4444444444444,70.6349206349206,52.3809523809524,44.4444444444444,40.4761904761905,595,445,330,280,255,30
"35 : Electricity, gas, steam and air conditioning supply",35,"Electricity, gas, steam and air conditioning supply",2020,535,6125,535,270,76.6355140186916,63.5514018691589,45.7943925233645,40.1869158878505,NA,410,340,245,215,NA,30
"35 : Electricity, gas, steam and air conditioning supply",35,"Electricity, gas, steam and air conditioning supply",2021,605,6270,575,255,93.3884297520661,57.0247933884297,40.495867768595,NA,NA,565,345,245,NA,NA,30
"35 : Electricity, gas, steam and air conditioning supply",35,"Electricity, gas, steam and air conditioning supply",2022,520,6235,475,345,91.3461538461538,52.8846153846154,NA,NA,NA,475,275,NA,NA,NA,30
"35 : Electricity, gas, steam and air conditioning supply",35,"Electricity, gas, steam and air conditioning supply",2023,590,6270,465,330,90.6779661016949,NA,NA,NA,NA,535,NA,NA,NA,NA,25
"36 : Water collection, treatment and supply",36,"Water collection, treatment and supply",2019,5,115,50,5,100,100,100,0,0,5,5,5,0,0,5
"36 : Water collection, treatment and supply",36,"Water collection, treatment and supply",2020,5,110,50,5,100,100,0,0,NA,5,5,0,0,NA,10
"36 : Water collection, treatment and supply",36,"Water collection, treatment and supply",2021,0,115,55,10,0,0,0,NA,NA,0,0,0,NA,NA,5
"36 : Water collection, treatment and supply",36,"Water collection, treatment and supply",2022,5,100,50,5,100,100,NA,NA,NA,5,5,NA,NA,NA,5
"36 : Water collection, treatment and supply",36,"Water collection, treatment and supply",2023,5,105,50,5,100,NA,NA,NA,NA,5,NA,NA,NA,NA,5
37 : Sewerage,37,Sewerage,2019,80,1075,195,70,100,75,68.75,62.5,56.25,80,60,55,50,45,5
37 : Sewerage,37,Sewerage,2020,120,1125,190,65,95.8333333333333,79.1666666666667,62.5,54.1666666666667,NA,115,95,75,65,NA,5
37 : Sewerage,37,Sewerage,2021,140,1200,195,65,92.8571428571429,78.5714285714286,64.2857142857143,NA,NA,130,110,90,NA,NA,10
37 : Sewerage,37,Sewerage,2022,115,1250,205,100,91.304347826087,69.5652173913043,NA,NA,NA,105,80,NA,NA,NA,10
37 : Sewerage,37,Sewerage,2023,120,1270,205,100,91.6666666666667,NA,NA,NA,NA,110,NA,NA,NA,NA,10
"38 : Waste collection, treatment and disposal activities; materials recovery",38,"Waste collection, treatment and disposal activities; materials recovery",2019,630,6245,1390,540,94.4444444444444,76.1904761904762,60.3174603174603,52.3809523809524,45.2380952380952,595,480,380,330,285,90
"38 : Waste collection, treatment and disposal activities; materials recovery",38,"Waste collection, treatment and disposal activities; materials recovery",2020,660,6310,1375,485,89.3939393939394,71.2121212121212,53.7878787878788,46.2121212121212,NA,590,470,355,305,NA,75
"38 : Waste collection, treatment and disposal activities; materials recovery",38,"Waste collection, treatment and disposal activities; materials recovery",2021,830,6640,1395,490,94.578313253012,69.2771084337349,51.8072289156626,NA,NA,785,575,430,NA,NA,55
"38 : Waste collection, treatment and disposal activities; materials recovery",38,"Waste collection, treatment and disposal activities; materials recovery",2022,720,6850,1440,630,93.0555555555556,69.4444444444444,NA,NA,NA,670,500,NA,NA,NA,65
"38 : Waste collection, treatment and disposal activities; materials recovery",38,"Waste collection, treatment and disposal activities; materials recovery",2023,585,6790,1440,645,92.3076923076923,NA,NA,NA,NA,540,NA,NA,NA,NA,75
39 : Remediation activities and other waste management services.,39,Remediation activities and other waste management services.,2019,190,1175,170,125,97.3684210526316,84.2105263157895,63.1578947368421,52.6315789473684,47.3684210526316,185,160,120,100,90,5
39 : Remediation activities and other waste management services.,39,Remediation activities and other waste management services.,2020,190,1245,190,80,97.3684210526316,78.9473684210526,60.5263157894737,52.6315789473684,NA,185,150,115,100,NA,10
39 : Remediation activities and other waste management services.,39,Remediation activities and other waste management services.,2021,175,1320,195,135,97.1428571428571,77.1428571428572,60,NA,NA,170,135,105,NA,NA,10
39 : Remediation activities and other waste management services.,39,Remediation activities and other waste management services.,2022,180,1380,220,125,94.4444444444444,66.6666666666667,NA,NA,NA,170,120,NA,NA,NA,10
39 : Remediation activities and other waste management services.,39,Remediation activities and other waste management services.,2023,140,1375,220,145,92.8571428571429,NA,NA,NA,NA,130,NA,NA,NA,NA,10
41 : Construction of buildings,41,Construction of buildings,2019,16175,118130,5230,11995,94.7140649149923,74.3431221020093,59.2890262751159,49.6754250386399,42.4729520865533,15320,12025,9590,8035,6870,225
41 : Construction of buildings,41,Construction of buildings,2020,15525,121845,5140,10395,92.6247987117552,73.1723027375201,55.5877616747182,46.3123993558776,NA,14380,11360,8630,7190,NA,200
41 : Construction of buildings,41,Construction of buildings,2021,19655,131415,5455,10810,95.3955736453829,70.0839481048079,54.3118799287713,NA,NA,18750,13775,10675,NA,NA,175
41 : Construction of buildings,41,Construction of buildings,2022,18060,136820,5715,14950,91.8881506090808,62.0708748615725,NA,NA,NA,16595,11210,NA,NA,NA,170
41 : Construction of buildings,41,Construction of buildings,2023,16355,137330,5625,15870,91.8067869153164,NA,NA,NA,NA,15015,NA,NA,NA,NA,185
42 : Civil engineering,42,Civil engineering,2019,4150,29075,2170,3190,93.0120481927711,70.2409638554217,46.9879518072289,33.1325301204819,27.2289156626506,3860,2915,1950,1375,1130,110
42 : Civil engineering,42,Civil engineering,2020,3345,28930,2100,3150,94.7683109118087,65.4708520179372,42.7503736920777,35.575485799701,NA,3170,2190,1430,1190,NA,110
42 : Civil engineering,42,Civil engineering,2021,3050,28505,2140,4225,87.0491803278689,62.1311475409836,50,NA,NA,2655,1895,1525,NA,NA,85
42 : Civil engineering,42,Civil engineering,2022,2965,27045,2160,3925,92.7487352445194,64.0809443507589,NA,NA,NA,2750,1900,NA,NA,NA,80
42 : Civil engineering,42,Civil engineering,2023,3165,25920,2150,2915,93.2069510268562,NA,NA,NA,NA,2950,NA,NA,NA,NA,80
43 : Specialised construction activities,43,Specialised construction activities,2019,28245,243200,12805,23760,93.1492299522039,77.0932908479377,62.3119136130289,52.7881040892193,46.2028677642061,26310,21775,17600,14910,13050,565
43 : Specialised construction activities,43,Specialised construction activities,2020,23615,242175,12640,20190,94.2832945161973,76.0957018843955,62.0791869574423,53.5888206648317,NA,22265,17970,14660,12655,NA,545
43 : Specialised construction activities,43,Specialised construction activities,2021,30270,251425,13160,21205,94.3508424182359,76.4288074000661,60.6210769739016,NA,NA,28560,23135,18350,NA,NA,460
43 : Specialised construction activities,43,Specialised construction activities,2022,28365,256565,13600,23760,94.6412832716376,73.9820200951877,NA,NA,NA,26845,20985,NA,NA,NA,490
43 : Specialised construction activities,43,Specialised construction activities,2023,27595,258910,13445,23750,94.5461134263454,NA,NA,NA,NA,26090,NA,NA,NA,NA,535
45 : Wholesale and retail trade and repair of motor vehicles and motorcycles,45,Wholesale and retail trade and repair of motor vehicles and motorcycles,2019,7420,84625,6530,8295,93.5309973045822,76.4824797843666,61.7250673854447,52.6954177897574,46.4285714285714,6940,5675,4580,3910,3445,195
45 : Wholesale and retail trade and repair of motor vehicles and motorcycles,45,Wholesale and retail trade and repair of motor vehicles and motorcycles,2020,7600,84160,6400,5955,95,77.1052631578947,60.7894736842105,51.7105263157895,NA,7220,5860,4620,3930,NA,185
45 : Wholesale and retail trade and repair of motor vehicles and motorcycles,45,Wholesale and retail trade and repair of motor vehicles and motorcycles,2021,8860,87460,6485,5950,94.8645598194131,76.0158013544018,62.3589164785553,NA,NA,8405,6735,5525,NA,NA,160
45 : Wholesale and retail trade and repair of motor vehicles and motorcycles,45,Wholesale and retail trade and repair of motor vehicles and motorcycles,2022,7575,88520,6450,7850,92.8712871287129,72.2772277227723,NA,NA,NA,7035,5475,NA,NA,NA,150
45 : Wholesale and retail trade and repair of motor vehicles and motorcycles,45,Wholesale and retail trade and repair of motor vehicles and motorcycles,2023,7705,88280,6465,7295,94.2894224529526,NA,NA,NA,NA,7265,NA,NA,NA,NA,165
"46 : Wholesale trade, except of motor vehicles and motorcycles",46,"Wholesale trade, except of motor vehicles and motorcycles",2019,9390,112005,18490,10000,93.6102236421725,72.790202342918,56.4962726304579,47.9765708200213,41.7465388711395,8790,6835,5305,4505,3920,825
"46 : Wholesale trade, except of motor vehicles and motorcycles",46,"Wholesale trade, except of motor vehicles and motorcycles",2020,13525,114570,18125,8470,93.7892791127542,73.3086876155268,46.2107208872458,36.5619223659889,NA,12685,9915,6250,4945,NA,730
"46 : Wholesale trade, except of motor vehicles and motorcycles",46,"Wholesale trade, except of motor vehicles and motorcycles",2021,13480,118565,18015,8935,94.7329376854599,64.5771513353116,43.620178041543,NA,NA,12770,8705,5880,NA,NA,605
"46 : Wholesale trade, except of motor vehicles and motorcycles",46,"Wholesale trade, except of motor vehicles and motorcycles",2022,10760,119145,18120,13195,92.0074349442379,60.0836431226766,NA,NA,NA,9900,6465,NA,NA,NA,625
"46 : Wholesale trade, except of motor vehicles and motorcycles",46,"Wholesale trade, except of motor vehicles and motorcycles",2023,9620,114595,17985,11740,92.8794178794179,NA,NA,NA,NA,8935,NA,NA,NA,NA,705
"47 : Retail trade, except of motor vehicles and motorcycles",47,"Retail trade, except of motor vehicles and motorcycles",2019,31935,236455,19490,26705,94.2539533427274,74.5733521214968,51.8396743385001,40.5667762642868,34.5075935493972,30100,23815,16555,12955,11020,730
"47 : Retail trade, except of motor vehicles and motorcycles",47,"Retail trade, except of motor vehicles and motorcycles",2020,34630,239195,19365,25485,86.4135142939648,72.1628645682934,48.3684666474155,38.9979786312446,NA,29925,24990,16750,13505,NA,700
"47 : Retail trade, except of motor vehicles and motorcycles",47,"Retail trade, except of motor vehicles and motorcycles",2021,38870,251025,20030,25265,92.7707743761255,66.3236429122717,48.7393877025984,NA,NA,36060,25780,18945,NA,NA,640
"47 : Retail trade, except of motor vehicles and motorcycles",47,"Retail trade, except of motor vehicles and motorcycles",2022,29420,252455,20535,33170,89.5819170632223,64.0890550645819,NA,NA,NA,26355,18855,NA,NA,NA,685
"47 : Retail trade, except of motor vehicles and motorcycles",47,"Retail trade, except of motor vehicles and motorcycles",2023,26725,244565,20460,29200,92.2544434050514,NA,NA,NA,NA,24655,NA,NA,NA,NA,775
49 : Land transport and transport via pipelines,49,Land transport and transport via pipelines,2019,18225,84875,6535,9775,96.241426611797,76.241426611797,44.3621399176955,27.681755829904,22.7434842249657,17540,13895,8085,5045,4145,255
49 : Land transport and transport via pipelines,49,Land transport and transport via pipelines,2020,14840,89265,6505,11385,96.1253369272237,53.6725067385445,34.1307277628032,27.0215633423181,NA,14265,7965,5065,4010,NA,240
49 : Land transport and transport via pipelines,49,Land transport and transport via pipelines,2021,20660,95995,7275,20580,91.1423039690223,63.3833494675702,31.6795740561471,NA,NA,18830,13095,6545,NA,NA,185
49 : Land transport and transport via pipelines,49,Land transport and transport via pipelines,2022,16670,89430,7050,16930,94.8410317936413,55.878824235153,NA,NA,NA,15810,9315,NA,NA,NA,195
49 : Land transport and transport via pipelines,49,Land transport and transport via pipelines,2023,11050,81160,6430,16825,88.6425339366516,NA,NA,NA,NA,9795,NA,NA,NA,NA,235
50 : Water transport,50,Water transport,2019,115,1510,185,130,91.304347826087,73.9130434782609,60.8695652173913,52.1739130434783,47.8260869565217,105,85,70,60,55,5
50 : Water transport,50,Water transport,2020,125,1495,175,100,100,76,64,56,NA,125,95,80,70,NA,5
50 : Water transport,50,Water transport,2021,115,1505,185,115,95.6521739130435,78.2608695652174,69.5652173913043,NA,NA,110,90,80,NA,NA,5
50 : Water transport,50,Water transport,2022,115,1495,185,130,100,78.2608695652174,NA,NA,NA,115,90,NA,NA,NA,5
50 : Water transport,50,Water transport,2023,140,1490,180,115,92.8571428571429,NA,NA,NA,NA,130,NA,NA,NA,NA,10
51 : Air transport,51,Air transport,2019,60,830,130,190,91.6666666666667,75,66.6666666666667,58.3333333333333,50,55,45,40,35,30,10
51 : Air transport,51,Air transport,2020,60,875,120,65,91.6666666666667,75,50,41.6666666666667,NA,55,45,30,25,NA,5
51 : Air transport,51,Air transport,2021,255,1255,120,135,96.078431372549,58.8235294117647,43.1372549019608,NA,NA,245,150,110,NA,NA,5
51 : Air transport,51,Air transport,2022,85,1150,120,295,88.2352941176471,70.5882352941177,NA,NA,NA,75,60,NA,NA,NA,0
51 : Air transport,51,Air transport,2023,110,1025,110,120,90.9090909090909,NA,NA,NA,NA,100,NA,NA,NA,NA,5
52 : Warehousing and support activities for transportation,52,Warehousing and support activities for transportation,2019,2960,22485,2655,4605,94.4256756756757,71.6216216216216,46.9594594594595,33.9527027027027,28.0405405405405,2795,2120,1390,1005,830,140
52 : Warehousing and support activities for transportation,52,Warehousing and support activities for transportation,2020,2430,20655,2495,3535,94.4444444444444,67.9012345679012,47.119341563786,39.0946502057613,NA,2295,1650,1145,950,NA,125
52 : Warehousing and support activities for transportation,52,Warehousing and support activities for transportation,2021,2900,20530,2550,3035,94.1379310344828,63.7931034482759,47.7586206896552,NA,NA,2730,1850,1385,NA,NA,130
52 : Warehousing and support activities for transportation,52,Warehousing and support activities for transportation,2022,2430,20790,2655,3690,92.1810699588477,60.9053497942387,NA,NA,NA,2240,1480,NA,NA,NA,140
52 : Warehousing and support activities for transportation,52,Warehousing and support activities for transportation,2023,2205,20420,2680,3365,89.7959183673469,NA,NA,NA,NA,1980,NA,NA,NA,NA,175
53 : Postal and courier activities,53,Postal and courier activities,2019,11055,33210,760,6440,87.6526458616011,51.7412935323383,28.9009497964722,18.9054726368159,14.2017186793306,9690,5720,3195,2090,1570,40
53 : Postal and courier activities,53,Postal and courier activities,2020,19910,46745,745,9900,83.2496233048719,42.9432446007032,19.4123556002009,13.6614766449021,NA,16575,8550,3865,2720,NA,35
53 : Postal and courier activities,53,Postal and courier activities,2021,22215,59195,760,16345,80.7787530947558,39.7029034436192,23.8577537699752,NA,NA,17945,8820,5300,NA,NA,50
53 : Postal and courier activities,53,Postal and courier activities,2022,17160,59505,755,21445,71.6491841491842,41.5501165501165,NA,NA,NA,12295,7130,NA,NA,NA,55
53 : Postal and courier activities,53,Postal and courier activities,2023,8280,46215,705,13020,80.3743961352657,NA,NA,NA,NA,6655,NA,NA,NA,NA,40
55 : Accommodation,55,Accommodation,2019,1860,19820,6265,1425,94.3548387096774,77.6881720430108,65.0537634408602,56.989247311828,49.4623655913978,1755,1445,1210,1060,920,210
55 : Accommodation,55,Accommodation,2020,1695,20135,6090,1420,93.5103244837758,79.646017699115,64.6017699115044,56.047197640118,NA,1585,1350,1095,950,NA,170
55 : Accommodation,55,Accommodation,2021,2340,21055,5930,1245,95.7264957264957,79.9145299145299,68.1623931623932,NA,NA,2240,1870,1595,NA,NA,140
55 : Accommodation,55,Accommodation,2022,2395,22105,6135,1715,93.9457202505219,77.6617954070981,NA,NA,NA,2250,1860,NA,NA,NA,175
55 : Accommodation,55,Accommodation,2023,2440,22755,6120,1745,93.2377049180328,NA,NA,NA,NA,2275,NA,NA,NA,NA,280
56 : Food and beverage service activities,56,Food and beverage service activities,2019,26930,165200,33805,23840,94.1700705532863,76.6988488674341,60.3601930932046,47.2335685109543,37.3189751206832,25360,20655,16255,12720,10050,1070
56 : Food and beverage service activities,56,Food and beverage service activities,2020,23490,165240,32415,19450,94.9765857811835,73.6483610046828,54.9382716049383,41.698595146871,NA,22310,17300,12905,9795,NA,960
56 : Food and beverage service activities,56,Food and beverage service activities,2021,28625,174900,33775,19450,94.5327510917031,72.3668122270742,48.6812227074236,NA,NA,27060,20715,13935,NA,NA,900
56 : Food and beverage service activities,56,Food and beverage service activities,2022,26155,179185,36875,24470,93.3091187153508,66.8705792391512,NA,NA,NA,24405,17490,NA,NA,NA,1160
56 : Food and beverage service activities,56,Food and beverage service activities,2023,26360,179805,37475,27855,93.9681335356601,NA,NA,NA,NA,24770,NA,NA,NA,NA,1510
58 : Publishing activities,58,Publishing activities,2019,1480,13435,1465,1305,94.5945945945946,75.6756756756757,61.8243243243243,53.7162162162162,47.2972972972973,1400,1120,915,795,700,75
58 : Publishing activities,58,Publishing activities,2020,1540,13455,1395,1115,94.1558441558442,75.974025974026,58.7662337662338,49.6753246753247,NA,1450,1170,905,765,NA,90
58 : Publishing activities,58,Publishing activities,2021,1555,13550,1405,1215,94.5337620578778,75.2411575562701,60.4501607717042,NA,NA,1470,1170,940,NA,NA,90
58 : Publishing activities,58,Publishing activities,2022,1600,13885,1475,1395,93.75,72.5,NA,NA,NA,1500,1160,NA,NA,NA,85
58 : Publishing activities,58,Publishing activities,2023,1585,13855,1445,1265,93.3753943217666,NA,NA,NA,NA,1480,NA,NA,NA,NA,105
"59 : Motion picture, video and television programme production, sound recording and music publishing activities",59,"Motion picture, video and television programme production, sound recording and music publishing activities",2019,3825,31260,1260,2650,96.8627450980392,81.0457516339869,64.8366013071895,55.4248366013072,49.281045751634,3705,3100,2480,2120,1885,75
"59 : Motion picture, video and television programme production, sound recording and music publishing activities",59,"Motion picture, video and television programme production, sound recording and music publishing activities",2020,3680,32050,1225,2455,94.0217391304348,79.4836956521739,63.9945652173913,54.6195652173913,NA,3460,2925,2355,2010,NA,65
"59 : Motion picture, video and television programme production, sound recording and music publishing activities",59,"Motion picture, video and television programme production, sound recording and music publishing activities",2021,4205,33400,1365,2520,95.8382877526754,77.4078478002378,63.7336504161712,NA,NA,4030,3255,2680,NA,NA,70
"59 : Motion picture, video and television programme production, sound recording and music publishing activities",59,"Motion picture, video and television programme production, sound recording and music publishing activities",2022,4365,35005,1455,2960,94.7308132875143,78.4650630011455,NA,NA,NA,4135,3425,NA,NA,NA,75
"59 : Motion picture, video and television programme production, sound recording and music publishing activities",59,"Motion picture, video and television programme production, sound recording and music publishing activities",2023,4560,36220,1480,2705,94.6271929824561,NA,NA,NA,NA,4315,NA,NA,NA,NA,95
60 : Programming and broadcasting activities,60,Programming and broadcasting activities,2019,180,2135,150,195,97.2222222222222,83.3333333333333,63.8888888888889,50,44.4444444444444,175,150,115,90,80,15
60 : Programming and broadcasting activities,60,Programming and broadcasting activities,2020,240,2180,140,155,95.8333333333333,79.1666666666667,62.5,52.0833333333333,NA,230,190,150,125,NA,5
60 : Programming and broadcasting activities,60,Programming and broadcasting activities,2021,265,2270,135,195,94.3396226415094,71.6981132075472,60.377358490566,NA,NA,250,190,160,NA,NA,5
60 : Programming and broadcasting activities,60,Programming and broadcasting activities,2022,235,2295,145,225,97.8723404255319,82.9787234042553,NA,NA,NA,230,195,NA,NA,NA,5
60 : Programming and broadcasting activities,60,Programming and broadcasting activities,2023,245,2295,125,185,95.9183673469388,NA,NA,NA,NA,235,NA,NA,NA,NA,5
61 : Telecommunications,61,Telecommunications,2019,1090,9555,970,1020,94.954128440367,73.394495412844,55.9633027522936,46.3302752293578,38.5321100917431,1035,800,610,505,420,95
61 : Telecommunications,61,Telecommunications,2020,945,9445,970,1020,95.7671957671958,74.6031746031746,54.4973544973545,47.0899470899471,NA,905,705,515,445,NA,105
61 : Telecommunications,61,Telecommunications,2021,930,9360,995,1080,95.1612903225807,74.1935483870968,58.6021505376344,NA,NA,885,690,545,NA,NA,85
61 : Telecommunications,61,Telecommunications,2022,870,9050,1005,1130,95.4022988505747,75.2873563218391,NA,NA,NA,830,655,NA,NA,NA,90
61 : Telecommunications,61,Telecommunications,2023,985,8825,1025,900,94.9238578680203,NA,NA,NA,NA,935,NA,NA,NA,NA,105
"62 : Computer programming, consultancy and related activities",62,"Computer programming, consultancy and related activities",2019,21730,187790,8295,19300,96.0193281178095,76.6451909802117,54.4408651633686,41.3713759779107,34.537505752416,20865,16655,11830,8990,7505,740
"62 : Computer programming, consultancy and related activities",62,"Computer programming, consultancy and related activities",2020,14505,181680,8580,26075,94.2088934850052,72.9403653912444,53.9124439848328,44.6742502585315,NA,13665,10580,7820,6480,NA,780
"62 : Computer programming, consultancy and related activities",62,"Computer programming, consultancy and related activities",2021,13950,167640,9045,30075,95.0179211469534,75.5197132616487,60.1792114695341,NA,NA,13255,10535,8395,NA,NA,740
"62 : Computer programming, consultancy and related activities",62,"Computer programming, consultancy and related activities",2022,14125,150370,9600,22505,95.0442477876106,76.8141592920354,NA,NA,NA,13425,10850,NA,NA,NA,860
"62 : Computer programming, consultancy and related activities",62,"Computer programming, consultancy and related activities",2023,13935,140700,9725,15460,95.1560818083961,NA,NA,NA,NA,13260,NA,NA,NA,NA,1000
63 : Information service activities,63,Information service activities,2019,1775,10600,785,1380,93.5211267605634,69.5774647887324,49.5774647887324,37.7464788732394,30.7042253521127,1660,1235,880,670,545,65
63 : Information service activities,63,Information service activities,2020,1545,10890,805,1510,93.8511326860841,70.5501618122977,47.5728155339806,38.5113268608414,NA,1450,1090,735,595,NA,65
63 : Information service activities,63,Information service activities,2021,1445,10780,885,1705,93.4256055363322,67.8200692041522,50.1730103806228,NA,NA,1350,980,725,NA,NA,70
63 : Information service activities,63,Information service activities,2022,1260,10470,930,1605,90.8730158730159,67.4603174603175,NA,NA,NA,1145,850,NA,NA,NA,75
63 : Information service activities,63,Information service activities,2023,1070,9735,970,1270,93.9252336448598,NA,NA,NA,NA,1005,NA,NA,NA,NA,100
"64 (Excl 642) : Financial service activities, except insurance and pension funding",64,"64 (Excl 642) : Financial service activities, except insurance and pension funding",2019,1865,10915,1110,885,95.9785522788204,83.3780160857909,71.313672922252,64.6112600536193,57.9088471849866,1790,1555,1330,1205,1080,100
"64 (Excl 642) : Financial service activities, except insurance and pension funding",64,"64 (Excl 642) : Financial service activities, except insurance and pension funding",2020,1735,11305,1150,1015,95.3890489913545,84.7262247838617,73.7752161383285,64.5533141210375,NA,1655,1470,1280,1120,NA,105
"64 (Excl 642) : Financial service activities, except insurance and pension funding",64,"64 (Excl 642) : Financial service activities, except insurance and pension funding",2021,1260,11030,1165,1045,95.2380952380952,82.1428571428571,69.8412698412698,NA,NA,1200,1035,880,NA,NA,85
"64 (Excl 642) : Financial service activities, except insurance and pension funding",64,"64 (Excl 642) : Financial service activities, except insurance and pension funding",2022,1555,11510,1205,910,96.1414790996785,83.2797427652733,NA,NA,NA,1495,1295,NA,NA,NA,80
"64 (Excl 642) : Financial service activities, except insurance and pension funding",64,"64 (Excl 642) : Financial service activities, except insurance and pension funding",2023,1370,11530,1225,895,95.6204379562044,NA,NA,NA,NA,1310,NA,NA,NA,NA,100
"65 : Insurance, reinsurance and pension funding, except compulsory social security",65,"Insurance, reinsurance and pension funding, except compulsory social security",2019,250,1315,250,180,60,52,44,34,28,150,130,110,85,70,20
"65 : Insurance, reinsurance and pension funding, except compulsory social security",65,"Insurance, reinsurance and pension funding, except compulsory social security",2020,230,1325,250,185,54.3478260869565,45.6521739130435,34.7826086956522,30.4347826086957,NA,125,105,80,70,NA,20
"65 : Insurance, reinsurance and pension funding, except compulsory social security",65,"Insurance, reinsurance and pension funding, except compulsory social security",2021,190,1280,245,170,57.8947368421053,47.3684210526316,36.8421052631579,NA,NA,110,90,70,NA,NA,10
