industry_raw,industry_code,industry_name,year,births_of_new_enterprises,active_enterprises,active_enterprises_10plus_employees,deaths_of_new_enterprises,percent_of_1_year,percent_of_2_year,percent_of_3_year,percent_of_4_year,percent_of_5_year,survival_of_1_year,survival_of_2_year,survival_of_3_year,survival_of_4_year,survival_of_5_year,high_growth_enterprises
"65 : Insurance, reinsurance and pension funding, except compulsory social security",65,"Insurance, reinsurance and pension funding, except compulsory social security",2022,160,1250,245,185,53.125,40.625,NA,NA,NA,85,65,NA,NA,NA,10
"65 : Insurance, reinsurance and pension funding, except compulsory social security",65,"Insurance, reinsurance and pension funding, except compulsory social security",2023,155,1170,760,160,54.8387096774194,NA,NA,NA,NA,85,NA,NA,NA,NA,10
66 : Activities auxiliary to financial services and insurance activities,66,Activities auxiliary to financial services and insurance activities,2019,1805,29575,3420,2285,95.8448753462604,75.3462603878116,60.387811634349,51.5235457063712,45.4293628808864,1730,1360,1090,930,820,230
66 : Activities auxiliary to financial services and insurance activities,66,Activities auxiliary to financial services and insurance activities,2020,1330,29165,3430,2650,93.984962406015,79.6992481203008,66.1654135338346,57.8947368421053,NA,1250,1060,880,770,NA,250
66 : Activities auxiliary to financial services and insurance activities,66,Activities auxiliary to financial services and insurance activities,2021,1875,28915,3420,2405,96.5333333333333,81.3333333333333,71.2,NA,NA,1810,1525,1335,NA,NA,175
66 : Activities auxiliary to financial services and insurance activities,66,Activities auxiliary to financial services and insurance activities,2022,1060,27230,3410,2320,94.811320754717,79.7169811320755,NA,NA,NA,1005,845,NA,NA,NA,175
66 : Activities auxiliary to financial services and insurance activities,66,Activities auxiliary to financial services and insurance activities,2023,945,26185,3370,1700,94.1798941798942,NA,NA,NA,NA,890,NA,NA,NA,NA,210
68 : Real estate activities,68,Real estate activities,2019,10465,110570,6450,7495,94.6488294314381,77.8308647873865,65.4085045389393,58.0028666985189,52.4128045867176,9905,8145,6845,6070,5485,190
68 : Real estate activities,68,Real estate activities,2020,10245,112620,6430,6585,92.8745729624207,77.3060029282577,63.6896046852123,56.1737432894095,NA,9515,7920,6525,5755,NA,195
68 : Real estate activities,68,Real estate activities,2021,12355,118110,6555,6625,95.6697693241603,75.7992715499798,63.8203156616754,NA,NA,11820,9365,7885,NA,NA,170
68 : Real estate activities,68,Real estate activities,2022,11825,122695,6565,8305,94.46088794926,73.9112050739958,NA,NA,NA,11170,8740,NA,NA,NA,145
68 : Real estate activities,68,Real estate activities,2023,12790,126495,6510,8200,93.9796716184519,NA,NA,NA,NA,12020,NA,NA,NA,NA,200
69 : Legal and accounting activities,69,Legal and accounting activities,2019,6610,83800,7795,6925,95.9909228441755,79.1981845688351,63.0862329803328,53.9334341906203,48.9409984871407,6345,5235,4170,3565,3235,260
69 : Legal and accounting activities,69,Legal and accounting activities,2020,5430,82145,7755,6280,95.3959484346225,81.4917127071823,68.6003683241252,61.3259668508287,NA,5180,4425,3725,3330,NA,265
69 : Legal and accounting activities,69,Legal and accounting activities,2021,5565,81485,7770,6290,95.8670260557053,80.8625336927224,71.1590296495957,NA,NA,5335,4500,3960,NA,NA,220
69 : Legal and accounting activities,69,Legal and accounting activities,2022,4845,79405,7775,6370,95.9752321981424,83.4881320949432,NA,NA,NA,4650,4045,NA,NA,NA,235
69 : Legal and accounting activities,69,Legal and accounting activities,2023,4845,77590,7710,4725,95.9752321981424,NA,NA,NA,NA,4650,NA,NA,NA,NA,265
70 : Activities of head offices; management consultancy activities,70,Activities of head offices; management consultancy activities,2019,25760,208890,6535,24560,96.0597826086957,77.0186335403727,57.1234472049689,45.1281055900621,38.1599378881988,24745,19840,14715,11625,9830,410
70 : Activities of head offices; management consultancy activities,70,Activities of head offices; management consultancy activities,2020,20775,203330,6625,27215,94.4404332129964,76.3658243080626,58.1708784596871,48.5920577617329,NA,19620,15865,12085,10095,NA,390
70 : Activities of head offices; management consultancy activities,70,Activities of head offices; management consultancy activities,2021,20460,194590,7130,29195,95.2590420332356,76.3196480938416,62.0723362658847,NA,NA,19490,15615,12700,NA,NA,425
70 : Activities of head offices; management consultancy activities,70,Activities of head offices; management consultancy activities,2022,18755,181680,7700,25040,94.8547054118902,77.2060783790989,NA,NA,NA,17790,14480,NA,NA,NA,490
70 : Activities of head offices; management consultancy activities,70,Activities of head offices; management consultancy activities,2023,19860,175295,7915,18290,95.1409869083585,NA,NA,NA,NA,18895,NA,NA,NA,NA,590
71 : Architectural and engineering activities; technical testing and analysis,71,Architectural and engineering activities; technical testing and analysis,2019,10440,109585,6165,11485,95.8333333333333,77.7777777777778,57.6628352490421,44.9712643678161,38.5057471264368,10005,8120,6020,4695,4020,345
71 : Architectural and engineering activities; technical testing and analysis,71,Architectural and engineering activities; technical testing and analysis,2020,7780,105385,6150,11445,95.0514138817481,74.0359897172236,55.8483290488432,48.0719794344473,NA,7395,5760,4345,3740,NA,310
71 : Architectural and engineering activities; technical testing and analysis,71,Architectural and engineering activities; technical testing and analysis,2021,7435,101525,6235,13835,94.8217888365837,76.7316745124412,64.7612642905178,NA,NA,7050,5705,4815,NA,NA,295
71 : Architectural and engineering activities; technical testing and analysis,71,Architectural and engineering activities; technical testing and analysis,2022,6640,92950,6365,12745,95.5572289156626,80.5722891566265,NA,NA,NA,6345,5350,NA,NA,NA,330
71 : Architectural and engineering activities; technical testing and analysis,71,Architectural and engineering activities; technical testing and analysis,2023,7125,87150,6465,7885,95.5789473684211,NA,NA,NA,NA,6810,NA,NA,NA,NA,360
72 : Scientific research and development,72,Scientific research and development,2019,710,6130,1020,520,96.4788732394366,79.5774647887324,61.9718309859155,52.8169014084507,48.5915492957746,685,565,440,375,345,85
72 : Scientific research and development,72,Scientific research and development,2020,760,6300,1040,505,93.4210526315789,76.3157894736842,63.8157894736842,55.2631578947368,NA,710,580,485,420,NA,105
72 : Scientific research and development,72,Scientific research and development,2021,785,6525,1150,605,94.9044585987261,76.4331210191083,63.6942675159236,NA,NA,745,600,500,NA,NA,120
72 : Scientific research and development,72,Scientific research and development,2022,575,6345,1225,550,95.6521739130435,76.5217391304348,NA,NA,NA,550,440,NA,NA,NA,120
72 : Scientific research and development,72,Scientific research and development,2023,575,6310,1290,470,93.0434782608696,NA,NA,NA,NA,535,NA,NA,NA,NA,145
73 : Advertising and market research,73,Advertising and market research,2019,2860,25585,2440,2640,95.979020979021,78.3216783216783,61.7132867132867,50.6993006993007,44.2307692307692,2745,2240,1765,1450,1265,180
73 : Advertising and market research,73,Advertising and market research,2020,2790,25560,2375,2380,94.9820788530466,76.7025089605735,58.2437275985663,49.2831541218638,NA,2650,2140,1625,1375,NA,160
73 : Advertising and market research,73,Advertising and market research,2021,3065,26200,2415,2500,94.1272430668842,74.3882544861338,59.8694942903752,NA,NA,2885,2280,1835,NA,NA,155
73 : Advertising and market research,73,Advertising and market research,2022,2700,26020,2475,2840,93.8888888888889,73.8888888888889,NA,NA,NA,2535,1995,NA,NA,NA,185
73 : Advertising and market research,73,Advertising and market research,2023,2875,25865,2480,2490,93.7391304347826,NA,NA,NA,NA,2695,NA,NA,NA,NA,235
"74 : Other professional, scientific and technical activities",74,"Other professional, scientific and technical activities",2019,15255,94275,3115,10155,93.8053097345133,74.6312684365782,58.734841035726,47.1320878400524,39.9868895444117,14310,11385,8960,7190,6100,155
"74 : Other professional, scientific and technical activities",74,"Other professional, scientific and technical activities",2020,13340,93730,3110,10790,94.2278860569715,76.1244377811094,58.808095952024,48.1634182908546,NA,12570,10155,7845,6425,NA,145
"74 : Other professional, scientific and technical activities",74,"Other professional, scientific and technical activities",2021,10075,88120,3150,11020,92.605459057072,72.8039702233251,57.9652605459057,NA,NA,9330,7335,5840,NA,NA,145
"74 : Other professional, scientific and technical activities",74,"Other professional, scientific and technical activities",2022,13540,90990,3370,11000,93.2791728212703,73.0428360413589,NA,NA,NA,12630,9890,NA,NA,NA,155
"74 : Other professional, scientific and technical activities",74,"Other professional, scientific and technical activities",2023,13575,90170,3385,10380,94.6593001841621,NA,NA,NA,NA,12850,NA,NA,NA,NA,170
75 : Veterinary activities,75,Veterinary activities,2019,670,4415,1015,380,94.7761194029851,73.134328358209,45.5223880597015,32.089552238806,28.3582089552239,635,490,305,215,190,50
75 : Veterinary activities,75,Veterinary activities,2020,400,4345,965,465,92.5,70,51.25,45,NA,370,280,205,180,NA,40
75 : Veterinary activities,75,Veterinary activities,2021,340,4190,950,610,92.6470588235294,79.4117647058823,70.5882352941177,NA,NA,315,270,240,NA,NA,40
75 : Veterinary activities,75,Veterinary activities,2022,390,3810,895,440,96.1538461538462,88.4615384615385,NA,NA,NA,375,345,NA,NA,NA,35
75 : Veterinary activities,75,Veterinary activities,2023,360,3690,900,235,95.8333333333333,NA,NA,NA,NA,345,NA,NA,NA,NA,45
77 : Rental and leasing activities,77,Rental and leasing activities,2019,1755,19405,2410,1615,95.1566951566952,77.7777777777778,59.8290598290598,52.1367521367521,46.4387464387464,1670,1365,1050,915,815,145
77 : Rental and leasing activities,77,Rental and leasing activities,2020,1855,19475,2325,1285,94.3396226415094,76.8194070080862,58.7601078167116,49.8652291105121,NA,1750,1425,1090,925,NA,110
77 : Rental and leasing activities,77,Rental and leasing activities,2021,2000,20035,2295,1425,95.25,73.25,57.75,NA,NA,1905,1465,1155,NA,NA,90
77 : Rental and leasing activities,77,Rental and leasing activities,2022,1770,20185,2375,1690,93.2203389830508,68.0790960451977,NA,NA,NA,1650,1205,NA,NA,NA,90
77 : Rental and leasing activities,77,Rental and leasing activities,2023,1530,19835,2375,1595,93.7908496732026,NA,NA,NA,NA,1435,NA,NA,NA,NA,115
78 : Employment activities,78,Employment activities,2019,5295,36800,6400,6350,93.2011331444759,61.09537299339,46.081208687441,37.204910292729,32.1057601510859,4935,3235,2440,1970,1700,475
78 : Employment activities,78,Employment activities,2020,4170,34915,6130,5115,94.9640287769784,67.8657074340528,54.0767386091127,47.0023980815348,NA,3960,2830,2255,1960,NA,430
78 : Employment activities,78,Employment activities,2021,4855,34715,6390,4390,96.1894953656025,71.4727085478888,56.0247167868177,NA,NA,4670,3470,2720,NA,NA,395
78 : Employment activities,78,Employment activities,2022,3485,33280,6935,4250,94.1176470588235,72.7403156384505,NA,NA,NA,3280,2535,NA,NA,NA,455
78 : Employment activities,78,Employment activities,2023,4465,33860,6995,3445,94.2889137737962,NA,NA,NA,NA,4210,NA,NA,NA,NA,605
"79 : Travel agency, tour operator and other reservation service and related activities",79,"Travel agency, tour operator and other reservation service and related activities",2019,1090,9450,1050,825,96.7889908256881,77.0642201834862,55.5045871559633,46.7889908256881,41.2844036697248,1055,840,605,510,450,65
"79 : Travel agency, tour operator and other reservation service and related activities",79,"Travel agency, tour operator and other reservation service and related activities",2020,935,9510,995,810,94.6524064171123,70.0534759358289,50.2673796791444,42.7807486631016,NA,885,655,470,400,NA,65
"79 : Travel agency, tour operator and other reservation service and related activities",79,"Travel agency, tour operator and other reservation service and related activities",2021,945,9655,910,955,96.2962962962963,70.3703703703704,54.4973544973545,NA,NA,910,665,515,NA,NA,40
"79 : Travel agency, tour operator and other reservation service and related activities",79,"Travel agency, tour operator and other reservation service and related activities",2022,830,9365,885,1025,91.566265060241,72.8915662650602,NA,NA,NA,760,605,NA,NA,NA,30
"79 : Travel agency, tour operator and other reservation service and related activities",79,"Travel agency, tour operator and other reservation service and related activities",2023,1165,9510,890,810,94.8497854077253,NA,NA,NA,NA,1105,NA,NA,NA,NA,40
80 : Security and investigation activities,80,Security and investigation activities,2019,1580,10565,1580,1175,95.5696202531646,78.797468354430407,59.1772151898734,47.7848101265823,41.4556962025316,1510,1245,935,755,655,125
80 : Security and investigation activities,80,Security and investigation activities,2020,1570,10950,1600,1095,94.5859872611465,73.5668789808917,56.687898089172,46.4968152866242,NA,1485,1155,890,730,NA,135
80 : Security and investigation activities,80,Security and investigation activities,2021,1665,11500,1640,1225,95.1951951951952,72.3723723723724,55.8558558558559,NA,NA,1585,1205,930,NA,NA,130
80 : Security and investigation activities,80,Security and investigation activities,2022,1505,11660,1675,1405,94.6843853820598,74.7508305647841,NA,NA,NA,1425,1125,NA,NA,NA,145
80 : Security and investigation activities,80,Security and investigation activities,2023,1690,11900,1735,1295,93.491124260355,NA,NA,NA,NA,1580,NA,NA,NA,NA,165
81 : Services to buildings and landscape activities,81,Services to buildings and landscape activities,2019,4595,48005,5730,4455,95.5386289445049,80.7399347116431,69.2056583242655,59.4124047878128,51.5778019586507,4390,3710,3180,2730,2370,330
81 : Services to buildings and landscape activities,81,Services to buildings and landscape activities,2020,4760,48825,5705,3610,94.6428571428571,79.0966386554622,62.6050420168067,53.1512605042017,NA,4505,3765,2980,2530,NA,325
81 : Services to buildings and landscape activities,81,Services to buildings and landscape activities,2021,7620,53675,5985,3565,95.4068241469816,76.509186351706,61.6141732283465,NA,NA,7270,5830,4695,NA,NA,295
81 : Services to buildings and landscape activities,81,Services to buildings and landscape activities,2022,6785,56365,6250,5510,91.9675755342668,68.9019896831245,NA,NA,NA,6240,4675,NA,NA,NA,270
81 : Services to buildings and landscape activities,81,Services to buildings and landscape activities,2023,6495,57450,6350,5700,92.8406466512702,NA,NA,NA,NA,6030,NA,NA,NA,NA,325
"82 : Office administrative, office support and other business support activities",82,"Office administrative, office support and other business support activities",2019,39480,161435,6975,21720,94.8961499493414,68.1990881458967,45.694022289767,35.2963525835866,29.3439716312057,37465,26925,18040,13935,11585,340
"82 : Office administrative, office support and other business support activities",82,"Office administrative, office support and other business support activities",2020,29500,160590,6640,28545,94.728813559322,65.3559322033898,48.8983050847458,39.2542372881356,NA,27945,19280,14425,11580,NA,330
"82 : Office administrative, office support and other business support activities",82,"Office administrative, office support and other business support activities",2021,18655,140210,6690,28380,91.3696060037524,66.9257571696596,47.7619941034575,NA,NA,17045,12485,8910,NA,NA,315
"82 : Office administrative, office support and other business support activities",82,"Office administrative, office support and other business support activities",2022,25595,140685,7180,20640,94.2371556944716,70.1308849384645,NA,NA,NA,24120,17950,NA,NA,NA,370
"82 : Office administrative, office support and other business support activities",82,"Office administrative, office support and other business support activities",2023,22910,137050,7265,21725,93.4308162374509,NA,NA,NA,NA,21405,NA,NA,NA,NA,380
85 : Education,85,Education,2019,4430,44645,8220,3880,95.5981941309255,81.2641083521445,68.6230248306998,59.255079006772,52.2573363431151,4235,3600,3040,2625,2315,370
85 : Education,85,Education,2020,4225,45055,8125,3675,94.0828402366864,80.5917159763314,66.3905325443787,57.7514792899408,NA,3975,3405,2805,2440,NA,360
85 : Education,85,Education,2021,5385,46885,8135,3550,96.100278551532,79.108635097493,66.016713091922,NA,NA,5175,4260,3555,NA,NA,315
85 : Education,85,Education,2022,5000,48010,8365,4485,93.7,77.6,NA,NA,NA,4685,3880,NA,NA,NA,330
85 : Education,85,Education,2023,5030,48105,8190,4070,94.234592445328,NA,NA,NA,NA,4740,NA,NA,NA,NA,425
86 : Human health activities,86,Human health activities,2019,6100,61935,11225,5365,96.3934426229508,83.1967213114754,70.0819672131148,60.7377049180328,54.7540983606557,5880,5075,4275,3705,3340,310
86 : Human health activities,86,Human health activities,2020,5770,62265,11060,4865,96.1871750433276,81.0225303292894,68.370883882149,60.6585788561525,NA,5550,4675,3945,3500,NA,370
86 : Human health activities,86,Human health activities,2021,6545,63970,11215,5055,95.7983193277311,82.0473644003056,71.4285714285714,NA,NA,6270,5370,4675,NA,NA,395
86 : Human health activities,86,Human health activities,2022,7650,66180,11435,5230,96.6666666666667,84.1830065359477,NA,NA,NA,7395,6440,NA,NA,NA,450
86 : Human health activities,86,Human health activities,2023,8760,69700,11580,4470,96.5182648401826,NA,NA,NA,NA,8455,NA,NA,NA,NA,525
87 : Residential care activities,87,Residential care activities,2019,825,11220,7200,665,94.5454545454545,77.5757575757576,63.030303030303,50.9090909090909,45.4545454545455,780,640,520,420,375,280
87 : Residential care activities,87,Residential care activities,2020,955,11450,7170,600,95.2879581151832,76.9633507853403,57.5916230366492,50.7853403141361,NA,910,735,550,485,NA,305
87 : Residential care activities,87,Residential care activities,2021,960,11780,7220,735,94.7916666666667,74.4791666666667,60.9375,NA,NA,910,715,585,NA,NA,250
87 : Residential care activities,87,Residential care activities,2022,1115,12135,7375,890,95.067264573991,76.6816143497758,NA,NA,NA,1060,855,NA,NA,NA,220
87 : Residential care activities,87,Residential care activities,2023,1370,12600,7550,805,93.0656934306569,NA,NA,NA,NA,1275,NA,NA,NA,NA,245
88 : Social work activities without accommodation,88,Social work activities without accommodation,2019,2135,37735,12900,2525,96.9555035128806,85.7142857142857,76.1124121779859,69.5550351288056,63.9344262295082,2070,1830,1625,1485,1365,710
88 : Social work activities without accommodation,88,Social work activities without accommodation,2020,1895,37625,12935,2325,97.0976253298153,86.5435356200528,76.5171503957784,69.6569920844327,NA,1840,1640,1450,1320,NA,720
88 : Social work activities without accommodation,88,Social work activities without accommodation,2021,2760,38485,12975,2085,97.1014492753623,84.4202898550725,73.731884057971,NA,NA,2680,2330,2035,NA,NA,550
88 : Social work activities without accommodation,88,Social work activities without accommodation,2022,2125,38290,13190,2405,97.4117647058823,83.5294117647059,NA,NA,NA,2070,1775,NA,NA,NA,505
88 : Social work activities without accommodation,88,Social work activities without accommodation,2023,2085,38295,13450,2310,96.1630695443645,NA,NA,NA,NA,2005,NA,NA,NA,NA,580
"90 : Creative, arts and entertainment activities",90,"Creative, arts and entertainment activities",2019,3025,33080,1220,2775,95.8677685950413,81.3223140495868,66.2809917355372,57.1900826446281,50.4132231404959,2900,2460,2005,1730,1525,50
"90 : Creative, arts and entertainment activities",90,"Creative, arts and entertainment activities",2020,2590,32780,1150,2435,93.6293436293436,76.8339768339768,62.9343629343629,54.4401544401544,NA,2425,1990,1630,1410,NA,50
"90 : Creative, arts and entertainment activities",90,"Creative, arts and entertainment activities",2021,3120,33355,1070,2480,95.5128205128205,79.8076923076923,67.1474358974359,NA,NA,2980,2490,2095,NA,NA,35
"90 : Creative, arts and entertainment activities",90,"Creative, arts and entertainment activities",2022,3425,34115,1175,2925,95.6204379562044,79.8540145985401,NA,NA,NA,3275,2735,NA,NA,NA,40
"90 : Creative, arts and entertainment activities",90,"Creative, arts and entertainment activities",2023,3745,34845,1295,2560,94.6595460614152,NA,NA,NA,NA,3545,NA,NA,NA,NA,70
"91 : Libraries, archives, museums and other cultural activities",91,"Libraries, archives, museums and other cultural activities",2019,75,1840,610,75,100,80,66.6666666666667,53.3333333333333,53.3333333333333,75,60,50,40,40,25
"91 : Libraries, archives, museums and other cultural activities",91,"Libraries, archives, museums and other cultural activities",2020,70,1840,605,75,92.8571428571429,78.5714285714286,64.2857142857143,50,NA,65,55,45,35,NA,25
"91 : Libraries, archives, museums and other cultural activities",91,"Libraries, archives, museums and other cultural activities",2021,95,1875,600,70,94.7368421052632,78.9473684210526,63.1578947368421,NA,NA,90,75,60,NA,NA,15
"91 : Libraries, archives, museums and other cultural activities",91,"Libraries, archives, museums and other cultural activities",2022,85,1895,635,70,100,76.4705882352941,NA,NA,NA,85,65,NA,NA,NA,25
"91 : Libraries, archives, museums and other cultural activities",91,"Libraries, archives, museums and other cultural activities",2023,85,1930,655,80,94.1176470588235,NA,NA,NA,NA,80,NA,NA,NA,NA,40
92 : Gambling and betting activities,92,Gambling and betting activities,2019,50,1095,355,75,90,80,70,60,60,45,40,35,30,30,15
92 : Gambling and betting activities,92,Gambling and betting activities,2020,35,1050,335,70,85.7142857142857,85.7142857142857,71.4285714285714,57.1428571428571,NA,30,30,25,20,NA,10
92 : Gambling and betting activities,92,Gambling and betting activities,2021,40,1020,330,55,100,62.5,50,NA,NA,40,25,20,NA,NA,10
92 : Gambling and betting activities,92,Gambling and betting activities,2022,35,985,325,60,85.7142857142857,71.4285714285714,NA,NA,NA,30,25,NA,NA,NA,5
92 : Gambling and betting activities,92,Gambling and betting activities,2023,20,945,320,75,100,NA,NA,NA,NA,20,NA,NA,NA,NA,10
93 : Sports activities and amusement and recreation activities,93,Sports activities and amusement and recreation activities,2019,4290,39095,6645,3465,95.8041958041958,77.039627039627,62.4708624708625,52.9137529137529,44.8717948717949,4110,3305,2680,2270,1925,295
93 : Sports activities and amusement and recreation activities,93,Sports activities and amusement and recreation activities,2020,3695,39315,6405,3205,94.8579161028417,74.424898511502,60.2165087956698,51.1502029769959,NA,3505,2750,2225,1890,NA,290
93 : Sports activities and amusement and recreation activities,93,Sports activities and amusement and recreation activities,2021,4715,40840,6290,3135,95.1219512195122,75.7158006362672,60.8695652173913,NA,NA,4485,3570,2870,NA,NA,225
93 : Sports activities and amusement and recreation activities,93,Sports activities and amusement and recreation activities,2022,4360,41715,6680,3635,93.5779816513761,74.4266055045871,NA,NA,NA,4080,3245,NA,NA,NA,270
93 : Sports activities and amusement and recreation activities,93,Sports activities and amusement and recreation activities,2023,4470,42470,6810,3585,94.5190156599553,NA,NA,NA,NA,4225,NA,NA,NA,NA,420
94 : Activities of membership organisations,94,Activities of membership organisations,2019,1065,23335,3155,1350,96.7136150234742,84.5070422535211,69.0140845070423,61.9718309859155,57.2769953051643,1030,900,735,660,610,120
94 : Activities of membership organisations,94,Activities of membership organisations,2020,1105,23305,3145,1015,97.737556561086,84.6153846153846,73.7556561085973,69.2307692307692,NA,1080,935,815,765,NA,120
94 : Activities of membership organisations,94,Activities of membership organisations,2021,1215,23620,3080,1135,96.7078189300412,82.7160493827161,72.8395061728395,NA,NA,1175,1005,885,NA,NA,95
94 : Activities of membership organisations,94,Activities of membership organisations,2022,945,23360,3125,1045,96.2962962962963,79.8941798941799,NA,NA,NA,910,755,NA,NA,NA,95
94 : Activities of membership organisations,94,Activities of membership organisations,2023,990,23420,3135,975,92.9292929292929,NA,NA,NA,NA,920,NA,NA,NA,NA,110
95 : Repair of computers and personal and household goods,95,Repair of computers and personal and household goods,2019,680,9885,535,1145,95.5882352941177,80.8823529411765,69.8529411764706,59.5588235294118,52.9411764705882,650,550,475,405,360,25
95 : Repair of computers and personal and household goods,95,Repair of computers and personal and household goods,2020,690,9775,525,905,94.9275362318841,78.9855072463768,63.0434782608696,53.6231884057971,NA,655,545,435,370,NA,25
95 : Repair of computers and personal and household goods,95,Repair of computers and personal and household goods,2021,1315,10965,515,870,94.6768060836502,74.9049429657795,59.6958174904943,NA,NA,1245,985,785,NA,NA,25
95 : Repair of computers and personal and household goods,95,Repair of computers and personal and household goods,2022,775,10585,520,1420,91.6129032258064,63.8709677419355,NA,NA,NA,710,495,NA,NA,NA,20
95 : Repair of computers and personal and household goods,95,Repair of computers and personal and household goods,2023,645,10085,525,1050,93.0232558139535,NA,NA,NA,NA,600,NA,NA,NA,NA,30
96 : Other personal service activities,96,Other personal service activities,2019,6755,81725,5470,7625,94.7446336047372,81.3471502590674,70.4663212435233,59.8815692079941,51.4433752775722,6400,5495,4760,4045,3475,150
96 : Other personal service activities,96,Other personal service activities,2020,6195,81250,5180,6650,94.9959644874899,81.0330912025827,66.2631154156578,56.4164648910412,NA,5885,5020,4105,3495,NA,135
96 : Other personal service activities,96,Other personal service activities,2021,8945,85200,4985,6295,96.5902738960313,78.0324203465623,62.6048071548351,NA,NA,8640,6980,5600,NA,NA,110
96 : Other personal service activities,96,Other personal service activities,2022,9465,87675,5090,9330,92.4986793449551,72.2134178552562,NA,NA,NA,8755,6835,NA,NA,NA,110
96 : Other personal service activities,96,Other personal service activities,2023,9910,89390,5080,9190,94.7023208879919,NA,NA,NA,NA,9385,NA,NA,NA,NA,135
